"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,78.1290927949812,-6.88909139636817,-16.1670734911581,35.4810638700185
"3",32.3341469823163,86.9421170521562,-6.57575107416025,-32.3341469823163,46.5596860047067
"4",48.5012204734744,97.5817721814948,-5.37823968846889,-48.5012204734744,50.3974330759525
"5",64.6682939646325,121.551713573297,-4.34769751142048,-64.6682939646325,58.2788648461652
"6",80.8353674557907,134.192975505245,-4.89833414781685,-80.8353674557907,59.0284496942469
"7",97.0024409469488,174.662179316686,-5.61814389988912,-54.8319133802625,66.323310019608
"8",113.169514438107,203.811505233063,-5.34504404705004,-61.5213770769303,70.6475536208748
"9",129.336587929265,238.520782385884,-5.1621484229809,-59.8648349287679,77.2559615154416
"10",145.503661420423,266.651746726495,-5.71278105022035,-66.6098284334003,85.5932414193491
"11",161.670734911581,305.113607302866,-4.40738013486336,-77.3296797782088,94.3799480562716
"12",177.837808402739,332.836093550915,-5.36191299559268,-83.5416421166001,96.6487958645608
"13",194.004881893898,398.392829330551,-6.47516308453776,-90.7086071715443,91.5947203564868
"14",210.171955385056,431.041403338219,-6.73130420283619,-98.59922678721,107.092031389369
"15",226.339028876214,452.120111770441,-6.81400010964125,-110.850282825376,107.625230010442
"16",242.506102367372,488.767672756075,-6.32140325512292,-123.2298383329,110.754843097108
"17",258.67317585853,528.498605269129,-6.53240812896252,-125.318258616883,116.530160363037
"18",274.840249349688,546.256296260665,-7.17242611659583,-134.976432199651,114.42576890619
"19",291.007322840846,581.748089149635,-7.33035875201531,-141.911992797756,117.213250903831
"20",307.174396332005,604.084205990039,-6.8610990200945,-146.593811480774,118.114757057139
"21",323.341469823163,626.896291892192,-7.05776358128395,-147.400189160429,113.8525853921
"22",339.508543314321,656.313255816172,-7.28963697996999,-138.139948097292,114.381631286915
"23",355.675616805479,685.517674394629,-6.08242577186835,-143.554909122775,113.662229447136
"24",371.842690296637,710.285698727221,-5.48155149975107,-140.994177116404,116.567549649571
"25",388.009763787795,737.516238940601,-4.58903366216149,-145.881499796823,133.012745732773
"26",404.176837278953,771.355405535083,-5.1155015396045,-154.502688717544,129.428376454345
"27",420.343910770112,791.499862057439,-4.85972736246069,-165.237968694154,128.459910964621
"28",436.51098426127,823.739553711539,-4.85446514469998,-167.824446754881,131.486413694361
"29",452.678057752428,850.795093560838,-4.56633624095751,-171.775051807916,139.764944350002
"30",468.845131243586,883.54724511322,-3.82983014223072,-176.100291648309,146.432038650797
