"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,54.2276117352121,-14.5859586053161,-16.1670734911581,140.3633002072
"3",32.3341469823163,67.2189715838014,-27.5908023247903,-32.3341469823163,124.196226716042
"4",48.5012204734744,150.605016658761,-40.5956460442644,-48.5012204734744,108.029153224884
"5",64.6682939646325,134.437943167603,-53.6004897637385,-64.6682939646325,91.8620797337255
"6",80.8353674557907,226.007951608313,-57.5423026249629,-80.8353674557907,190.283192717508
"7",97.0024409469488,225.586532625482,-63.1441091148811,-97.0024409469488,216.058306449767
"8",113.169514438107,278.771505297914,-72.5473045663939,-113.169514438107,270.250030370039
"9",129.336587929265,363.426208655326,-77.3762774240166,-129.336587929265,284.803853504596
"10",145.503661420423,416.302880759395,-77.7111886099544,-145.503661420423,373.648856431146
"11",161.670734911581,426.001844919027,-84.4772996736824,-161.670734911581,402.707553625388
"12",177.837808402739,442.647771405301,-94.3075041160646,-177.837808402739,407.845220600207
"13",194.004881893898,497.620470960636,-101.726031689545,-194.004881893898,451.386382481837
"14",210.171955385056,555.44811980975,-108.384115430889,-210.171955385056,453.930176837584
"15",226.339028876214,588.211812152913,-109.877908798434,-226.339028876214,490.973257156236
"16",242.506102367372,661.741500007663,-112.037201451176,-242.506102367372,491.686429318457
"17",258.67317585853,711.441779729128,-108.218940811523,-258.67317585853,508.165913757761
"18",274.840249349688,756.952799550433,-110.587457775487,-274.840249349688,538.515431170209
"19",291.007322840846,809.070258577195,-113.545964962146,-291.007322840846,594.46218678934
"20",307.174396332005,833.616068343966,-117.0376860477,-307.174396332005,632.007845858143
"21",323.341469823163,870.541295423792,-121.158212916182,-323.341469823163,670.707620967348
"22",339.508543314321,912.579453444233,-119.318941976199,-339.508543314321,774.030136593534
"23",355.675616805479,943.444008055875,-119.868665289863,-355.675616805479,827.626253418428
"24",371.842690296637,988.964325089751,-116.81633316778,-371.842690296637,842.386237700707
"25",388.009763787795,1042.29159555613,-118.502752904776,-388.009763787795,869.998465779381
"26",404.176837278953,1058.92963455437,-121.197366732171,-404.176837278953,919.20822441889
